TRADEDATE,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,TRADINGSESSION,TRENDCLSPR,ADJ_CLOSE
2015-04-16,GAZP,51500,6457450523.4,150.62,149.12,152.87,152.4,150.75,152.4,42835980,3,1.53,73.38403772483504
2015-04-17,GAZP,59079,8658398014.6,152.41,149.3,153.55,149.3,151.66,149.3,57089260,3,-2.03,71.89131779736137
2015-04-20,GAZP,56078,6180574229.2,150.0,148.73,154.7,153.96,152.45,153.96,40542190,3,3.12,74.13521291414438
2015-04-21,GAZP,41940,4556912419.2,153.5,153.47,156.2,155.35,155.36,155.35,29331080,3,0.9,74.80452926872127
2015-04-22,GAZP,47466,5711334818.0,155.22,150.08,155.27,150.8,152.05,150.8,37562510,3,-2.93,72.61360163323572
2015-04-23,GAZP,57568,5884340268.2,151.0,146.62,151.0,150.15,148.68,150.15,39578500,3,-0.43,72.3006119710235
2015-04-24,GAZP,45227,5459393569.8,150.0,149.67,154.14,153.89,152.72,153.89,35747130,3,2.49,74.10150633513689
2015-04-27,GAZP,34350,3385601578.1,153.98,152.05,155.18,152.05,153.86,152.05,22004600,3,-1.2,73.2155048297977
2015-04-28,GAZP,34903,3927374609.9,151.77,149.7,153.14,152.79,151.39,152.79,25942650,3,0.49,73.57183152216237
2015-04-29,GAZP,43724,4934823358.6,152.8,151.75,154.99,152.5,153.6,152.5,32127150,3,-0.19,73.43218998056
2015-04-30,GAZP,40108,4389882696.8,152.54,151.06,154.2,153.5,152.83,153.5,28723340,3,0.66,73.91371253780956
2015-05-05,GAZP,53886,5255936696.9,154.52,153.32,158.7,156.33,156.25,156.33,33638700,3,1.8399999999999999,75.27642137482586
2015-05-06,GAZP,39077,4618118792.2,156.35,153.3,156.39,155.25,154.97,155.25,29799390,3,-0.6900000000000001,74.75637701299632
2015-05-07,GAZP,42124,4450190850.2,154.52,150.81,154.59,152.1,152.4,152.1,29201660,3,-2.03,73.23958095766015
2015-05-08,GAZP,29379,3437637877.2,152.0,151.7,155.65,155.52,154.15,155.52,22300590,3,2.25,74.88638810345371
2015-05-12,GAZP,54518,5428235345.3,155.51,152.1,157.0,154.2,154.38,154.2,35162100,3,-0.85,74.25077832788426
2015-05-13,GAZP,32430,3636747207.0,154.3,151.6,154.5,151.74,153.22,151.74,23735400,3,-1.6,73.06623283705032
2015-05-14,GAZP,34557,2979519042.2,151.78,151.05,153.68,151.8,152.32,151.8,19561270,3,0.04,73.0951241904853
2015-05-15,GAZP,26506,3143583796.8,152.49,151.5,154.1,152.98,152.88,152.98,20562190,3,0.78,73.66332080803978
2015-05-18,GAZP,25703,2710789291.4,153.01,151.64,154.28,151.9,153.07,151.9,17709240,3,-0.71,73.14327644621025
2015-05-19,GAZP,39575,3767297467.9,151.71,148.62,152.4,149.85,149.95,149.85,25123260,3,-1.35,72.15615520384861
2015-05-20,GAZP,44155,3023157688.4,150.0,146.0,150.0,146.35,147.51,146.35,20494720,3,-2.34,70.47082625347511
2015-05-21,GAZP,35933,3380079091.6,146.35,144.45,148.28,147.16,146.32,147.16,23101260,3,0.55,70.86085952484727
2015-05-22,GAZP,39323,3301134068.2,147.19,146.95,149.85,148.8,148.61,148.8,22212800,3,1.11,71.65055651873658
2015-05-25,GAZP,27955,2370018286.9,148.76,145.22,148.8,146.69,146.74,146.69,16151440,3,-1.42,70.63454392293997
2015-05-26,GAZP,40419,3284126734.6,147.3,144.87,147.85,145.25,146.06,145.25,22484990,3,-0.98,69.94115144050058
2015-05-27,GAZP,40716,4070221330.0,145.58,144.19,147.7,147.66,145.95,147.66,27887970,3,1.6600000000000001,71.10162080347206
2015-05-28,GAZP,46282,4015596028.0,147.61,146.11,149.5,146.11,148.0,146.11,27132390,3,-1.05,70.35526083973522
2015-05-29,GAZP,66232,8071211634.7,146.3,139.0,148.9,139.0,144.56,139.0,55832110,3,-4.87,66.93163545769075
2015-06-01,GAZP,46689,4332052874.3,140.13,139.25,141.79,139.4,140.63,139.4,30804210,3,0.29,67.12424448059058
2015-06-02,GAZP,46950,5075582970.4,139.89,138.23,141.75,140.75,139.79,140.75,36308440,3,0.97,67.7742999328775
2015-06-03,GAZP,54236,5814133812.2,141.0,138.8,144.0,140.71,141.62,140.71,41054380,3,-0.03,67.75503903058753
2015-06-04,GAZP,49272,3969676427.6,140.95,139.3,142.39,140.2,140.92,140.2,28168930,3,-0.36,67.50946252639022
2015-06-05,GAZP,46300,3782614895.9,140.38,139.4,142.52,142.4,140.69,142.4,26887100,3,1.57,68.5688121523393
2015-06-08,GAZP,31916,3271222517.3,142.55,141.5,144.49,142.66,142.98,142.66,22878860,3,0.18,68.69400801722418
2015-06-09,GAZP,33014,3603057523.8,142.99,141.8,146.4,146.17,144.33,146.17,24963390,3,2.46,70.38415219317018
2015-06-10,GAZP,54382,4092715761.8,146.44,145.31,147.7,145.6,146.54,145.6,27929430,3,-0.39,70.10968433553793
2015-06-11,GAZP,28163,2717691978.6,146.0,144.05,146.0,145.4,144.86,145.4,18761030,3,-0.14,70.01337982408802
2015-06-15,GAZP,43635,4449705718.9,144.5,142.35,145.8,144.95,143.78,144.95,30948960,3,-0.31,69.7966946733257
2015-06-16,GAZP,40786,3321818912.0,144.95,144.87,147.15,146.0,146.05,146.0,22745150,3,0.72,70.30229335843777
2015-06-17,GAZP,31691,3598427621.8,146.31,145.56,148.48,147.6,147.2,147.6,24445210,3,1.1,71.07272945003707
2015-06-18,GAZP,27508,3967540738.8,147.9,146.2,149.17,147.15,148.01,147.15,26805520,3,-0.30000000000000004,70.85604429927477
2015-06-19,GAZP,39189,3886042657.8,147.2,146.33,148.7,147.15,147.27,147.15,26388000,3,0.0,70.85604429927477
2015-06-22,GAZP,26348,2899843374.3,147.74,146.91,149.2,148.5,148.32,148.5,19550650,3,0.92,71.50609975156169
2015-06-23,GAZP,28152,3769499134.2,148.75,145.82,149.39,146.25,147.14,146.25,25619260,3,-1.52,70.42267399775015
2015-06-24,GAZP,20046,2700557955.1,146.7,145.83,148.11,146.68,146.78,146.68,18398930,3,0.29,70.62972869736747
2015-06-25,GAZP,30418,3139602399.4,146.28,143.7,147.66,143.7,145.8,143.7,21533170,3,-2.03,69.19479147676374
2015-06-26,GAZP,27815,2424397616.8,143.7,142.61,145.49,145.18,144.3,145.18,16800750,3,1.03,69.90744486149312
2015-06-29,GAZP,19583,2231189520.9,143.69,142.51,144.5,143.59,143.6,143.59,15537420,3,-1.1,69.1418239954663
