TRADEDATE,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,TRADINGSESSION,TRENDCLSPR,ADJ_CLOSE
2016-08-01,ROSN,8060,576394518.5,326.5,323.6,329.25,325.6,326.45,325.6,1765600,3,0.03,225.03393286039523
2016-08-02,ROSN,11786,757235121.0,324.0,316.15,324.9,317.35,320.0,317.35,2366480,3,-2.5300000000000002,219.33205956156763
2016-08-03,ROSN,12205,1116179979.5,316.8,316.8,324.0,323.25,320.15,323.25,3486470,3,1.8599999999999999,223.40976289042612
2016-08-04,ROSN,10893,968716925.0,324.3,323.6,329.3,329.0,326.6,329.0,2966280,3,1.78,227.3837957956696
2016-08-05,ROSN,8079,610635600.5,329.1,325.5,330.55,329.9,327.9,329.9,1862230,3,0.27,228.00581833735987
2016-08-08,ROSN,6477,498536936.5,330.2,328.75,332.8,329.0,330.95,329.0,1506100,3,-0.27,227.3837957956696
2016-08-09,ROSN,6746,593370624.0,329.1,327.15,331.25,329.9,328.9,329.9,1804110,3,0.27,228.00581833735987
2016-08-10,ROSN,7480,670245644.5,328.0,323.6,328.4,326.6,326.1,326.6,2055220,3,-1.0,225.72506901782887
2016-08-11,ROSN,8458,686010916.0,324.55,321.1,326.6,325.05,323.6,325.05,2119910,3,-0.47000000000000003,224.6538079738067
2016-08-12,ROSN,7861,691645201.5,326.0,326.0,331.4,330.85,329.2,330.85,2101090,3,1.78,228.66239768692185
2016-08-15,ROSN,16002,1703462180.5,330.3,329.8,340.0,339.0,336.3,339.0,5065590,3,2.46,234.29515737000605
2016-08-16,ROSN,10331,1365867138.0,338.9,337.45,343.9,343.5,341.6,343.5,3998300,3,1.33,237.40527007845748
2016-08-17,ROSN,9094,972776231.5,342.5,339.1,345.9,345.55,342.85,345.55,2837380,3,0.6000000000000001,238.82209920119647
2016-08-18,ROSN,10634,1283678747.5,346.2,344.0,352.3,351.85,348.25,351.85,3686160,3,1.82,243.17625699302843
2016-08-19,ROSN,10407,1253242607.5,352.7,349.0,353.55,349.05,350.95,349.05,3571090,3,-0.8,241.24107575221421
2016-08-22,ROSN,8670,991147349.5,348.0,345.5,352.0,351.75,348.05,351.75,2847710,3,0.77,243.10714337728504
2016-08-23,ROSN,7112,706324658.0,351.8,348.6,352.0,351.0,350.5,351.0,2015120,3,-0.21,242.5887912592098
2016-08-24,ROSN,4525,432166046.0,349.5,346.85,350.5,350.2,348.45,350.2,1240280,3,-0.23,242.0358823332629
