TRADEDATE,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,TRADINGSESSION,TRENDCLSPR,ADJ_CLOSE
2013-11-18,TATN,4120,287849520.3,209.01,208.54,212.42,211.7,210.79,211.7,1365550,3,1.6600000000000001,128.48718411117667
2013-11-19,TATN,3146,220039274.7,211.7,211.11,212.83,212.0,211.91,211.99,1038360,3,0.14,128.66319395242488
2013-11-20,TATN,3498,270077801.5,209.61,208.0,211.83,208.07,209.48,208.69,1289300,3,-1.56,126.6603233451179
2013-11-21,TATN,5140,281610748.3,207.73,205.75,209.95,209.95,207.58,208.5,1356650,3,-0.09,126.54500655257598
2013-11-22,TATN,4995,270608804.7,209.3,209.11,213.5,213.5,211.46,213.41,1279740,3,2.35,129.52503524405392
2013-11-25,TATN,5090,328736046.5,214.0,210.88,214.67,211.0,212.99,211.01,1543420,3,-1.12,128.0684020751034
2013-11-26,TATN,6464,395907195.4,211.02,207.0,211.99,207.5,208.73,207.99,1896720,3,-1.43,126.23547200417401
2013-11-27,TATN,5010,304111884.9,208.2,204.47,210.62,204.47,207.16,204.48,1468020,3,-1.69,124.10514599458386
2013-11-28,TATN,5309,256704773.5,204.48,203.81,208.49,204.98,206.29,205.08,1244370,3,0.29,124.46930428682151
2013-11-29,TATN,6268,391802661.2,205.2,202.25,207.17,202.81,204.03,203.09,1920330,3,-0.97,123.26151261756671
2013-12-02,TATN,4219,241527043.3,202.44,202.44,206.87,204.77,205.65,205.35,1174460,3,1.11,124.63317551832843
2013-12-03,TATN,11179,496410852.8,204.48,198.57,204.5,198.7,200.73,198.72,2473050,3,-3.23,120.60922638910264
2013-12-04,TATN,7174,484237225.2,199.15,197.13,203.35,200.12,200.01,199.29,2421040,3,0.29,120.95517676672839
2013-12-05,TATN,10353,445477148.9,199.46,195.81,201.49,196.39,198.93,196.74,2239350,3,-1.28,119.40750402471848
2013-12-06,TATN,9013,357173286.5,196.75,194.53,198.77,196.38,196.57,196.5,1816990,3,-0.12,119.26184070782341
2013-12-09,TATN,5630,286171722.0,197.52,196.54,200.15,198.56,198.37,199.28,1442650,3,1.4100000000000001,120.94910746185776
2013-12-10,TATN,12134,312102852.6,199.4,199.08,203.66,203.49,202.18,203.66,1543710,3,2.2,123.60746299519245
2013-12-11,TATN,6063,177686890.0,203.02,200.3,203.98,203.49,202.39,203.5,877930,3,-0.08,123.51035411726241
2013-12-12,TATN,8610,413650393.3,200.56,197.83,202.38,201.48,200.01,201.0,2068170,3,-1.23,121.99302789960564
2013-12-13,TATN,7217,294594710.2,201.06,200.86,203.83,202.79,202.82,201.34,1452510,3,0.17,122.19938426520696
2013-12-16,TATN,8084,304487215.0,201.32,201.3,204.5,203.0,202.82,203.22,1501260,3,0.93,123.34041358088486
2013-12-17,TATN,9295,280610998.8,203.22,203.22,206.1,205.82,204.99,206.09,1368920,3,1.4100000000000001,125.08230407875485
2013-12-18,TATN,4708,283114630.3,206.04,203.7,206.79,204.5,204.6,204.54,1383760,3,-0.75,124.14156182380763
2013-12-19,TATN,9314,449697142.7,206.28,205.95,209.75,208.23,208.08,209.03,2161220,3,2.2,126.86667971071923
2013-12-20,TATN,5042,276473484.8,209.02,206.25,209.43,207.94,207.79,207.93,1330550,3,-0.53,126.19905617495024
2013-12-23,TATN,5453,280738090.2,208.75,206.89,212.33,211.1,209.63,210.98,1339180,3,1.47,128.05019416049151
2013-12-24,TATN,4165,230412745.4,209.21,208.08,210.89,208.9,209.29,209.88,1100940,3,-0.52,127.38257062472253
2013-12-25,TATN,1550,88660905.3,209.42,209.02,211.0,209.99,210.26,209.99,421670,3,0.05,127.44933297829944
2013-12-26,TATN,1504,122142178.0,209.27,208.4,210.15,208.5,209.18,208.45,583910,3,-0.73,126.51466002822285
2013-12-27,TATN,3046,123417516.3,208.87,206.07,208.9,206.12,207.13,206.2,595850,3,-1.08,125.14906643233174
2013-12-30,TATN,2733,166873713.2,205.95,204.0,209.25,207.64,207.03,208.22,806040,3,0.98,126.37506601619843
2014-01-06,TATN,6510,292346050.6,205.91,199.23,205.91,199.23,202.25,200.4,1445500,3,-3.76,121.628869607368
2014-01-08,TATN,11392,292442160.0,200.67,196.26,200.87,196.26,198.71,197.12,1471720,3,-1.6400000000000001,119.6381376098023
2014-01-09,TATN,9916,305194304.8,197.15,196.5,200.89,198.71,199.14,199.11,1532600,3,1.01,120.8459292790571
2014-01-10,TATN,8330,376121135.0,198.54,196.23,200.0,200.0,197.96,199.69,1900000,3,0.29,121.19794896155348
2014-01-13,TATN,3872,197647862.3,199.11,198.85,203.0,200.51,201.18,201.5,982440,3,0.91,122.29649314313698
2014-01-14,TATN,6295,306984666.1,199.43,196.36,199.43,197.2,197.75,197.2,1552360,3,-2.13,119.68669204876731
2014-01-15,TATN,3891,239269376.7,197.75,197.5,199.64,197.5,198.55,198.41,1205060,3,0.61,120.4210779381132
2014-01-16,TATN,4339,266138507.5,199.0,197.14,199.0,197.65,198.22,198.05,1342670,3,-0.18,120.20258296277063
2014-01-17,TATN,4562,265490141.0,197.86,197.13,200.2,198.77,198.94,199.5,1334530,3,0.73,121.08263216901156
2014-01-20,TATN,2187,108811758.2,199.0,198.14,199.9,199.69,199.21,199.19,546230,3,-0.16,120.89448371802212
2014-01-21,TATN,3884,176560224.1,200.32,199.67,201.9,199.67,200.56,200.39,880320,3,0.6000000000000001,121.62280030249737
2014-01-22,TATN,5106,263720766.3,200.41,198.33,200.41,199.48,199.24,199.2,1323640,3,-0.59,120.90055302289274
2014-01-23,TATN,5690,283546224.6,199.42,198.75,203.81,200.68,201.73,201.07,1405570,3,0.9400000000000001,122.03551303370001
2014-01-24,TATN,10825,537054558.8,200.23,197.02,201.66,197.94,199.14,198.0,2696840,3,-1.53,120.17223643841749
2014-01-27,TATN,9527,542445797.0,196.79,196.61,200.52,197.41,198.93,197.36,2726820,3,-0.32,119.78380092669735
2014-01-28,TATN,8855,543174387.4,198.19,193.28,198.48,193.7,195.45,193.79,2779060,3,-1.81,117.61705908788345
2014-01-29,TATN,13608,739665680.8,195.31,193.87,200.69,197.14,197.97,197.14,3736180,3,1.73,119.65027621954354
2014-01-30,TATN,5993,358398439.1,197.21,195.25,199.68,198.49,197.77,199.21,1812220,3,1.05,120.90662232776337
2014-01-31,TATN,9013,403040476.7,198.96,194.27,199.57,194.45,196.65,195.49,2049510,3,-1.87,118.64884091589008
2014-02-03,TATN,4597,255140007.4,196.14,192.06,196.33,192.06,194.42,192.62,1312310,3,-1.47,116.90695041802009
2014-02-04,TATN,11803,394031580.2,191.22,188.69,191.79,189.18,190.07,188.96,2073060,3,-1.9,114.68558483537055
2014-02-05,TATN,14583,382123011.0,190.0,189.22,194.47,193.0,192.1,193.09,1989180,3,2.19,117.19220774693956
2014-02-06,TATN,10513,608728749.9,193.91,191.93,199.9,198.95,196.71,199.59,3094510,3,3.37,121.13725591284721
2014-02-07,TATN,6618,475079736.1,200.45,198.45,202.0,201.61,200.38,201.89,2370920,3,1.15,122.53319603309144
2014-02-10,TATN,6841,356754504.6,201.97,200.35,203.6,203.13,202.07,203.32,1765470,3,0.71,123.40110662959113
2014-02-11,TATN,8418,431696442.7,203.8,202.75,207.49,207.12,205.68,207.49,2098900,3,2.05,125.93200676064265
